1,10
1,1
1,3
2,2
3,6
4,6
5,4
6,4
7,4
8,2
9,4
10,8
11,4
12,2
13,1
14,3
15,3
16,4
16,2
16,7
17,3
17,2
17,10
18,1
19,2
20,3
21,8
22,11
23,8
24,11
25,8
26,10
27,3
27,1
27,11
28,2
28,4
29,4
30,6
31,2
32,8
33,2
34,7
35,7
36,11
37,4
37,2
37,9
38,8
38,4
38,2
39,6
39,2
39,4
39,1
40,8
41,3
42,3
43,7
44,8
45,6
46,1
47,1
48,4
49,6
50,10
51,7
52,2
53,10
54,7
55,11
56,6
57,11
58,1
59,7
60,4
60,5
60,2
60,6
60,1
61,10
62,2
63,4
64,2
65,2
66,6
67,1
68,11
69,7
70,2
71,4
72,8
73,10
74,6
75,1
76,1
77,11
78,6
79,1
80,10
81,9
82,4
83,9
84,1
85,8
86,9
87,5
88,4
89,9
90,2
91,1
92,11
93,2
94,8
95,6
96,7
97,10
98,9
99,10
99,2
99,4
100,2
100,5
100,10
101,7
102,8
103,9
104,8
105,6
106,6
107,9
108,5
109,6
110,1
111,5
112,11
113,1
114,3
115,5
116,10
117,7
118,2
119,6
120,11
121,11
122,5
123,2
124,8
125,4
126,8
127,2
128,8
129,11
130,3
131,8
132,10
133,5
134,9
135,7
136,11
137,2
138,2
139,10
140,3
141,7
142,4
143,2
144,10
145,3
146,5
147,6
148,3
149,5
150,1
151,3
152,4
153,3
154,5
155,9
156,3
157,8
158,1
159,4
160,1
160,3
161,1
161,2
161,8
162,1
163,5
164,2
165,2
166,7
167,11
168,1
169,11
170,7
171,9
172,10
173,7
174,4
175,8
176,7
177,4
178,9
179,3
180,5
181,7
182,9
183,3
184,9
185,9
186,4
187,2
188,1
189,6
190,10
191,5
192,4
193,3
194,9
195,3
196,10
197,6
198,7
198,1
198,3
199,4
199,2
199,6
200,8
201,2
202,10
203,6
204,6
205,2
206,7
207,2
208,4
209,9
210,10
211,6
212,11
213,8
214,1
215,2
216,11
217,10
218,5
219,1
